Country Name,Series Name,1998,2000,2002,2004,2012,2014,2016,2018,2020,2021,Continent,Region
China,Imports of goods and services (current US$),144911954342.863,224308947695.207,295619639664.13,556182551589.986,1943215391727.26,2241288603086.24,1944484096049.36,2564105245752.72,2357105740841.64,3089622822933.79,Asia,Asia
China,Exports of goods and services (current US$),188748114336.099,253095146997.004,333002310921.832,607356934129.132,2175080625683.19,2462839435101.08,2199967569433.37,2655591916233.37,2723250430718.18,3548552962009.61,Asia,Asia
France,GDP (current US$),1503108739159.44,1365639660792.16,1501409382971.38,2119633181634.37,2683671716967.19,2855964488590.19,2472964344587.17,2790956878746.66,2630317731455.26,2937472757953.44,Europe,Europe
France,GDP growth (annual %),3.58865942535427,3.92366922704063,1.13553148214601,2.82975292869891,0.313134751077172,0.956183052371557,1.09546440372048,1.86506607081999,-7.85525603703762,6.96357078755028,Europe,Europe
France,GDP per capita (current US$),24974.2738587988,22419.6948211313,24292.5802304835,33803.3095951203,40872.3624615688,43068.5487241739,37062.5335723829,41592.795896432,39037.1226309074,43518.5385130851,Europe,Europe
France,"Inflation, consumer prices (annual %)",0.65112686783302,1.6759598872093,1.9234122872706,2.14208964640242,1.95419531613507,0.507758822937957,0.183334861123848,1.85081508315494,0.476498852725083,1.64233141038392,Europe,Europe
France,"Population, total",60186284,60912500,61805266,62704901,65659814,66312067,66724104,67101930,67379908,67499343,Europe,Europe
France,Surface area (sq. km),549086,549087,549087,549087,549087,549087,549087,549087,549086.87,,Europe,Europe
France,Imports of goods and services (current US$),351430953969.313,372359017200.001,383474587651.373,539577459091.121,818493895248.047,879982977519.997,762973925940.469,913320694019.607,786301507754.088,940542297600.76,Europe,Europe
France,Exports of goods and services (current US$),392709584167.223,390504309338.04,413353771803.138,561042237466.411,783713381111.719,847269974207.056,748010809661.091,885114776507.45,733165402569.652,879699770569.753,Europe,Europe
Germany,GDP (current US$),2238990774702.68,1947981991011.77,2078484517474.51,2814353869359.08,3527143188785.16,3889093051023.52,3469853463945.53,3977289455388.23,3846413928653.71,4223116205968.92,Europe,Europe
Germany,GDP growth (annual %),2.01393278519326,2.91250296366708,-0.197973834771361,1.17508813160987,0.418497594217598,2.20954343134872,2.22999986782015,1.08602451412267,-4.56961671737398,2.89260243321934,Europe,Europe
Germany,GDP per capita (current US$),27289.0593603191,23694.7604830673,25197.2656001848,34106.6581224001,43855.8544658618,48023.8699845462,42136.1207907991,47973.6076235097,46252.6893044892,50801.7867105308,Europe,Europe
Germany,"Inflation, consumer prices (annual %)",0.911185301235183,1.44026818676794,1.42080560518857,1.66573340932676,2.0084909216701,0.906797948515676,0.49174862477081,1.73216766075662,0.506689889953274,3.14296967309964,Europe,Europe
Germany,"Population, total",82047195,82211508,82488495,82516260,80425823,80982500,82348669,82905782,83160871,83129285,Europe,Europe
Germany,Surface area (sq. km),357030,357030,357040,357050,357170,357380,357580,357580,357590,,Europe,Europe
Germany,Imports of goods and services (current US$),563734578192.731,597608722042.354,589090539832.942,858739159387.261,1418156159958.98,1516778572468.23,1342707789871.99,1635992815794.51,1449776956932.3,1770614284759.66,Europe,Europe
Germany,Exports of goods and services (current US$),591248193842.392,600907866067.452,677431710710.589,1005100437665.64,1633318434049.22,1774175599429.01,1598674707103.9,1881299505616.47,1669993508933.86,2004251622872.06,Europe,Europe
India,GDP (current US$),421351477504.743,468394937262.37,514937948870.08,709148514804.659,1827637859135.7,2039127446298.55,2294797980509.01,2702929718960.46,2667687951796.56,3173397590816.91,Asia,Asia
India,GDP growth (annual %),6.18441582090618,3.84099115681285,3.8039753213758,7.92293661286503,5.45638875297365,7.41022760508854,8.25630550179086,6.45385134497769,-6.59608052232176,8.94796266921514,Asia,Asia
India,GDP per capita (current US$),413.29893221522,443.314193811316,470.986786810734,627.774241726543,1443.88243476138,1573.88564182956,1732.55424231659,1998.25907627675,1933.1010689481,2277.43434674354,Asia,Asia
India,"Inflation, consumer prices (annual %)",13.2308389767977,4.0094359104519,4.29715203929562,3.7672517347751,9.47899691419793,6.665656718679,4.94821634062142,3.93882646691634,6.62343677628532,5.13140747176369,Asia,Asia
India,"Population, total",1019483586,1056575548,1093317187,1129623466,1265780243,1295600768,1324517250,1352642283,1380004385,1393409033,Asia,Asia
India,Surface area (sq. km),3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,,Asia,Asia
India,Imports of goods and services (current US$),53431584653.2041,65124164122.0956,78498577658.6009,139310020965.107,571306638044.004,529239679343.382,480169284856.572,640300825053.023,509433826379.252,725551019456.021,Asia,Asia
India,Exports of goods and services (current US$),46426482685.1663,60878396865.5263,73452725999.4092,126647719432.562,448400543291.471,468346037554.217,439642787829.497,538635201541.984,499095036175.143,660499390376.678,Asia,Asia
Indonesia,GDP (current US$),95445547872.715,165021012077.81,195660611165.183,256836875295.452,917869910105.749,890814755233.225,931877364177.742,1042271531011.99,1058688935454.78,1186092991320.04,Asia,Asia
Indonesia,GDP growth (annual %),-13.1267254923818,4.9200677470169,4.49947539085764,5.03087394501685,6.03005065305615,5.006668425755,5.03306918280177,5.17429153955024,-2.06500494092904,3.69124011191289,Asia,Asia
Indonesia,GDP per capita (current US$),463.948158190899,780.19020467518,900.177588137897,1150.26136651088,3694.35933980214,3491.63749125449,3562.81633352183,3893.85957814877,3870.55761979249,4291.81255449121,Asia,Asia
Indonesia,"Inflation, consumer prices (annual %)",58.4510444723946,3.68861915958351,11.9001175663779,6.06405988526519,4.27949999641976,6.39492540819922,3.5258051568793,3.19834641562404,1.92096800566845,1.56012990525685,Asia,Asia
Indonesia,"Population, total",205724597,211513822,217357790,223285666,248451714,255128076,261556386,267670549,273523621,276361788,Asia,Asia
Indonesia,Surface area (sq. km),1910930,1910930,1910930,1910930,1910930,1910931,1913580,1916862.2,1916906.77,,Asia,Asia
Indonesia,Imports of goods and services (current US$),41249712041.6119,50264686469.7912,51638437160.6839,70744690513.6428,229362101573.161,217485215697.145,170835000855.915,230045611948.785,166258355015.893,223720346705.59,Asia,Asia
Indonesia,Exports of goods and services (current US$),50555726234.5501,67621169165.827,63956798804.501,82744351781.0167,225744402474.106,210820082760.734,177886012771.598,218905647471.407,182850626710.373,255731268263.145,Asia,Asia
Italy,GDP (current US$),1270052525928.4,1146676894209.73,1276769338449.3,1806542968545.56,2086957656821.6,2162009615996.54,1877071687633.78,2091932426266.98,1892574064222.11,2099880198258.88,Europe,Europe
Italy,GDP growth (annual %),1.81061516197623,3.78695514323979,0.253942998968455,1.42359415817907,-2.98090576823772,-0.004547542363838,1.29346273155907,0.925810941012742,-9.0256689277568,6.64379018966193,Europe,Europe
Italy,GDP per capita (current US$),22318.1373007109,20137.5912217673,22376.2978989329,31317.2007943296,35051.5212697703,35565.7213771496,30960.7315088902,34622.1696664741,31834.9726184046,35551.2849900071,Europe,Europe
Italy,"Inflation, consumer prices (annual %)",1.95508557719383,2.53768532095005,2.46532319171164,2.20673661423654,3.04136333226773,0.241047429826773,-0.094016656915727,1.13748763600395,-0.13770757391657,1.87378325762491,Europe,Europe
Italy,"Population, total",56906744,56942108,57059007,57685327,59539717,60789140,60627498,60421760,59449527,59066225,Europe,Europe
Italy,Surface area (sq. km),301340,302069,302069,302069,302069,302069,302069,302069,302068,,Europe,Europe
Italy,Imports of goods and services (current US$),267089327534.292,284121969413.177,301961782874.981,423101431530.04,569227676736.094,566733784835.488,488784062761.869,605614375522.274,489611385450.429,636716300253.091,Europe,Europe
Italy,Exports of goods and services (current US$),305612133377.941,293867282501.648,311627059267.452,433747867067.607,592262781313.008,629335664494.076,550505533785.41,655895167113.49,558924642565.138,687469342794.95,Europe,Europe
